Kind;Name;Type;Description
compute.beta.image;deprecated.obsolete;string;An optional RFC3339 timestamp on or after which the state of this resource is intended to change to OBSOLETE. This is only informational and the status will not change unless the client explicitly changes it.
compute.beta.image;deprecated.replacement;string;The URL of the suggested replacement for a deprecated resource. The suggested replacement resource must be the same kind of resource as the deprecated resource.
compute.beta.image;deprecated.state;string;The deprecation state of this resource. This can be DEPRECATED, OBSOLETE, or DELETED. Operations which create a new resource using a DEPRECATED resource will return successfully, but with a warning indicating the deprecated resource and recommending its replacement. Operations which use OBSOLETE or DELETED resources will be rejected and result in an error.
compute.beta.image;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.beta.image;diskSizeGb;long;Size of the image when restored onto a persistent disk (in GB).
compute.beta.image;family;string;The name of the image family to which this image belongs. You can create disks by specifying an image family instead of a specific image name. The image family always returns its latest image that is not deprecated. The name of the image family must comply with RFC1035.
compute.beta.image;guestOsFeatures[];list;A list of features to enable on the guest OS. Applicable for bootable images only. Currently, only one feature can be enabled, VIRTIO_SCSI_MULTIQUEUE, which allows each virtual CPU to have its own queue. For Windows images, you can only enable VIRTIO_SCSI_MULTIQUEUE on images with driver version 1.2.0.1621 or higher. Linux images with kernel versions 3.17 and higher will support VIRTIO_SCSI_MULTIQUEUE. For new Windows images, the server might also populate this field with the value WINDOWS, to indicate that this is a Windows image. This value is purely informational and does not enable or disable any features.
compute.beta.image;guestOsFeatures[].type;string;The type of supported feature. Currenty only VIRTIO_SCSI_MULTIQUEUE is supported. For newer Windows images, the server might also populate this property with the value WINDOWS to indicate that this is a Windows image. This value is purely informational and does not enable or disable any features.
compute.beta.image;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.beta.image;imageEncryptionKey;nested object;Encrypts the image using a customer-supplied encryption key. After you encrypt an image with a customer-supplied key, you must provide the same key if you use the image later (e.g. to create a disk from the image). Customer-supplied encryption keys do not protect access to metadata of the disk. If you do not provide an encryption key when creating the image, then the disk will be encrypted using an automatically generated key and you do not need to provide a key to use the image later.
compute.beta.image;imageEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.beta.image;imageEncryptionKey.rsaEncryptedKey;string;Specifies an RFC 4648 base64 encoded, RSA-wrapped 2048-bit customer-supplied encryption key to either encrypt or decrypt this resource. The key must meet the following requirements before you can provide it to Compute Engine: The key is wrapped using a RSA public key certificate provided by Google. After being wrapped, the key must be encoded in RFC 4648 base64 encoding. Get the RSA public key certificate provided by Google at: https://cloud-certs.storage.googleapis.com/google-cloud-csek-ingress.pem
compute.beta.image;imageEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.beta.image;kind;string;[Output Only] Type of the resource. Always compute#image for images.
compute.beta.image;labelFingerprint;bytes;A fingerprint for the labels being applied to this image, which is essentially a hash of the labels used for optimistic locking. The fingerprint is initially generated by Compute Engine and changes after every request to modify or update labels. You must always provide an up-to-date fingerprint hash in order to update or change labels. To see the latest fingerprint, make a get() request to retrieve an image.
compute.beta.image;labels;object;Labels to apply to this image. These can be later modified by the setLabels method. Each label key/value pair must comply with RFC1035. Label values may be empty.
compute.beta.image;labels.(key);string;The key of a label.
compute.beta.image;licenses[];list;Any applicable license URI.
compute.beta.image;name;string;Name of the resource; provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.beta.image;rawDisk;object;The parameters of the raw disk image.
compute.beta.image;rawDisk.containerType;string;The format used to encode and transmit the block device, which should be TAR. This is just a container and transmission format and not a runtime format. Provided by the client when the disk image is created.
compute.beta.image;rawDisk.sha1Checksum;string;An optional SHA1 checksum of the disk image before unpackaging. This is provided by the client when the disk image is created.
compute.beta.image;rawDisk.source;string;The full Google Cloud Storage URL where the disk image is stored. You must provide either this property or the sourceDisk property but not both.
compute.beta.image;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.beta.image;sourceDisk;string;URL of the source disk used to create this image. This can be a full or valid partial URL. You must provide either this property or the rawDisk.source property but not both to create an image. For example, the following are valid values: https://www.googleapis.com/compute/v1/projects/project/zones/zone/disks/disk projects/project/zones/zone/disks/disk zones/zone/disks/disk
compute.beta.image;sourceDiskEncryptionKey;nested object;The customer-supplied encryption key of the source disk. Required if the source disk is protected by a customer-supplied encryption key.
compute.beta.image;sourceDiskEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.beta.image;sourceDiskEncryptionKey.rsaEncryptedKey;string;Specifies an RFC 4648 base64 encoded, RSA-wrapped 2048-bit customer-supplied encryption key to either encrypt or decrypt this resource. The key must meet the following requirements before you can provide it to Compute Engine: The key is wrapped using a RSA public key certificate provided by Google. After being wrapped, the key must be encoded in RFC 4648 base64 encoding. Get the RSA public key certificate provided by Google at: https://cloud-certs.storage.googleapis.com/google-cloud-csek-ingress.pem
compute.beta.image;sourceDiskEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.beta.image;sourceDiskId;string;The ID value of the disk used to create this image. This value may be used to determine whether the image was taken from the current or a previous instance of a given disk name.
compute.beta.image;sourceType;string;The type of the image used to create this disk. The default and only value is RAW
compute.beta.image;status;string;[Output Only] The status of the image. An image can be used to create other resources, such as instances, only after the image has been successfully created and the status is set to READY. Possible values are FAILED, PENDING, or READY.
compute.beta.instance;canIpForward;boolean;Allows this instance to send and receive packets with non-matching destination or source IPs. This is required if you plan to use this instance to forward routes. For more information, see Enabling IP Forwarding.
compute.beta.instance;cpuPlatform;string;[Output Only] The CPU platform used by this instance.
compute.beta.instance;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.beta.instance;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.beta.instance;disks[];list;Array of disks associated with this instance. Persistent disks must be created before you can assign them.
compute.beta.instance;disks[].autoDelete;boolean;Specifies whether the disk will be auto-deleted when the instance is deleted (but not when the disk is detached from the instance).
compute.beta.instance;disks[].boot;boolean;Indicates that this is a boot disk. The virtual machine will use the first partition of the disk for its root filesystem.
compute.beta.instance;disks[].deviceName;string;Specifies a unique device name of your choice that is reflected into the /dev/disk/by-id/google-* tree of a Linux operating system running within the instance. This name can be used to reference the device for mounting, resizing, and so on, from within the instance. If not specified, the server chooses a default device name to apply to this disk, in the form persistent-disks-x, where x is a number assigned by Google Compute Engine. This field is only applicable for persistent disks.
compute.beta.instance;disks[].diskEncryptionKey;nested object;Encrypts or decrypts a disk using a customer-supplied encryption key. If you are creating a new disk, this field encrypts the new disk using an encryption key that you provide. If you are attaching an existing disk that is already encrypted, this field decrypts the disk using the customer-supplied encryption key. If you encrypt a disk using a customer-supplied key, you must provide the same key again when you attempt to use this resource at a later time. For example, you must provide the key when you create a snapshot or an image from the disk or when you attach the disk to a virtual machine instance. If you do not provide an encryption key, then the disk will be encrypted using an automatically generated key and you do not need to provide a key to use the disk later. Instance templates do not store customer-supplied encryption keys, so you cannot use your own keys to encrypt disks in a managed instance group.
compute.beta.instance;disks[].diskEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.beta.instance;disks[].diskEncryptionKey.rsaEncryptedKey;string;Specifies an RFC 4648 base64 encoded, RSA-wrapped 2048-bit customer-supplied encryption key to either encrypt or decrypt this resource. The key must meet the following requirements before you can provide it to Compute Engine: The key is wrapped using a RSA public key certificate provided by Google. After being wrapped, the key must be encoded in RFC 4648 base64 encoding. Get the RSA public key certificate provided by Google at: https://cloud-certs.storage.googleapis.com/google-cloud-csek-ingress.pem
compute.beta.instance;disks[].diskEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.beta.instance;disks[].index;integer;Assigns a zero-based index to this disk, where 0 is reserved for the boot disk. For example, if you have many disks attached to an instance, each disk would have a unique index number. If not specified, the server will choose an appropriate value.
compute.beta.instance;disks[].initializeParams;nested object;[Input Only] Specifies the parameters for a new disk that will be created alongside the new instance. Use initialization parameters to create boot disks or local SSDs attached to the new instance. This property is mutually exclusive with the source property; you can only define one or the other, but not both.
compute.beta.instance;disks[].initializeParams.diskName;string;Specifies the disk name. If not specified, the default is to use the name of the instance.
compute.beta.instance;disks[].initializeParams.diskSizeGb;long;Specifies the size of the disk in base-2 GB.
compute.beta.instance;disks[].initializeParams.diskStorageType;string;[Deprecated] Storage type of the disk.
compute.beta.instance;disks[].initializeParams.diskType;string;Specifies the disk type to use to create the instance. If not specified, the default is pd-standard, specified using the full URL. For example: https://www.googleapis.com/compute/v1/projects/project/zones/zone/diskTypes/pd-standard Other values include pd-ssd and local-ssd. If you define this field, you can provide either the full or partial URL. For example, the following are valid values: https://www.googleapis.com/compute/v1/projects/project/zones/zone/diskTypes/diskType projects/project/zones/zone/diskTypes/diskType zones/zone/diskTypes/diskType Note that for InstanceTemplate, this is the name of the disk type, not URL.
compute.beta.instance;disks[].initializeParams.sourceImage;string;The source image to create this disk. When creating a new instance, one of initializeParams.sourceImage or disks.source is required. To create a disk with one of the public operating system images, specify the image by its family name. For example, specify family/debian-8 to use the latest Debian 8 image: projects/debian-cloud/global/images/family/debian-8 Alternatively, use a specific version of a public operating system image: projects/debian-cloud/global/images/debian-8-jessie-vYYYYMMDD To create a disk with a private image that you created, specify the image name in the following format: global/images/my-private-image You can also specify a private image by its image family, which returns the latest version of the image in that family. Replace the image name with family/family-name: global/images/family/my-private-family If the source image is deleted later, this field will not be set.
compute.beta.instance;disks[].initializeParams.sourceImageEncryptionKey;nested object;The customer-supplied encryption key of the source image. Required if the source image is protected by a customer-supplied encryption key. Instance templates do not store customer-supplied encryption keys, so you cannot create disks for instances in a managed instance group if the source images are encrypted with your own keys.
compute.beta.instance;disks[].initializeParams.sourceImageEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.beta.instance;disks[].initializeParams.sourceImageEncryptionKey.rsaEncryptedKey;string;Specifies an RFC 4648 base64 encoded, RSA-wrapped 2048-bit customer-supplied encryption key to either encrypt or decrypt this resource. The key must meet the following requirements before you can provide it to Compute Engine: The key is wrapped using a RSA public key certificate provided by Google. After being wrapped, the key must be encoded in RFC 4648 base64 encoding. Get the RSA public key certificate provided by Google at: https://cloud-certs.storage.googleapis.com/google-cloud-csek-ingress.pem
compute.beta.instance;disks[].initializeParams.sourceImageEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.beta.instance;disks[].interface;string;Specifies the disk interface to use for attaching this disk, which is either SCSI or NVME. The default is SCSI. Persistent disks must always use SCSI and the request will fail if you attempt to attach a persistent disk in any other format than SCSI. Local SSDs can use either NVME or SCSI. For performance characteristics of SCSI over NVMe, see Local SSD performance.
compute.beta.instance;disks[].kind;string;[Output Only] Type of the resource. Always compute#attachedDisk for attached disks.
compute.beta.instance;disks[].licenses[];list;[Output Only] Any valid publicly visible licenses.
compute.beta.instance;disks[].mode;string;The mode in which to attach this disk, either READ_WRITE or READ_ONLY. If not specified, the default is to attach the disk in READ_WRITE mode.
compute.beta.instance;disks[].source;string;Specifies a valid partial or full URL to an existing Persistent Disk resource. When creating a new instance, one of initializeParams.sourceImage or disks.source is required. If desired, you can also attach existing non-root persistent disks using this property. This field is only applicable for persistent disks. Note that for InstanceTemplate, specify the disk name, not the URL for the disk.
compute.beta.instance;disks[].type;string;Specifies the type of the disk, either SCRATCH or PERSISTENT. If not specified, the default is PERSISTENT.
compute.beta.instance;guestAccelerators[];list;List of the type and count of accelerator cards attached to the instance.
compute.beta.instance;guestAccelerators[].acceleratorCount;integer;The number of the guest accelerator cards exposed to this instance.
compute.beta.instance;guestAccelerators[].acceleratorType;string;Full or partial URL of the accelerator type resource to expose to this instance.
compute.beta.instance;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.beta.instance;kind;string;[Output Only] Type of the resource. Always compute#instance for instances.
compute.beta.instance;labelFingerprint;bytes;A fingerprint for this request, which is essentially a hash of the metadata's contents and used for optimistic locking. The fingerprint is initially generated by Compute Engine and changes after every request to modify or update metadata. You must always provide an up-to-date fingerprint hash in order to update or change metadata. To see the latest fingerprint, make get() request to the instance.
compute.beta.instance;labels;object;Labels to apply to this instance. These can be later modified by the setLabels method.
compute.beta.instance;labels.(key);string;The key of a label.
compute.beta.instance;machineType;string;Full or partial URL of the machine type resource to use for this instance, in the format: zones/zone/machineTypes/machine-type. This is provided by the client when the instance is created. For example, the following is a valid partial url to a predefined machine type: zones/us-central1-f/machineTypes/n1-standard-1 To create a custom machine type, provide a URL to a machine type in the following format, where CPUS is 1 or an even number up to 32 (2, 4, 6, ... 24, etc), and MEMORY is the total memory for this instance. Memory must be a multiple of 256 MB and must be supplied in MB (e.g. 5 GB of memory is 5120 MB): zones/zone/machineTypes/custom-CPUS-MEMORY For example: zones/us-central1-f/machineTypes/custom-4-5120 For a full list of restrictions, read the Specifications for custom machine types.
compute.beta.instance;metadata;nested object;The metadata key/value pairs assigned to this instance. This includes custom metadata and predefined keys.
compute.beta.instance;metadata.fingerprint;bytes;Specifies a fingerprint for this request, which is essentially a hash of the metadata's contents and used for optimistic locking. The fingerprint is initially generated by Compute Engine and changes after every request to modify or update metadata. You must always provide an up-to-date fingerprint hash in order to update or change metadata.
compute.beta.instance;metadata.items[];list;Array of key/value pairs. The total size of all keys and values must be less than 512 KB.
compute.beta.instance;metadata.items[].key;string;Key for the metadata entry. Keys must conform to the following regexp: [a-zA-Z0-9-_]+, and be less than 128 bytes in length. This is reflected as part of a URL in the metadata server. Additionally, to avoid ambiguity, keys must not conflict with any other metadata keys for the project.
compute.beta.instance;metadata.items[].value;string;Value for the metadata entry. These are free-form strings, and only have meaning as interpreted by the image running in the instance. The only restriction placed on values is that their size must be less than or equal to 32768 bytes.
compute.beta.instance;metadata.kind;string;[Output Only] Type of the resource. Always compute#metadata for metadata.
compute.beta.instance;name;string;The name of the resource, provided by the client when initially creating the resource. The resource name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.beta.instance;networkInterfaces[];list;An array of configurations for this interface. This specifies how this interface is configured to interact with other network services, such as connecting to the internet. Only one interface is supported per instance.
compute.beta.instance;networkInterfaces[].accessConfigs[];list;An array of configurations for this interface. Currently, only one access config, ONE_TO_ONE_NAT, is supported. If there are no accessConfigs specified, then this instance will have no external internet access.
compute.beta.instance;networkInterfaces[].accessConfigs[].kind;string;[Output Only] Type of the resource. Always compute#accessConfig for access configs.
compute.beta.instance;networkInterfaces[].accessConfigs[].name;string;The name of this access configuration. The default and recommended name is External NAT but you can use any arbitrary string you would like. For example, My external IP or Network Access.
compute.beta.instance;networkInterfaces[].accessConfigs[].natIP;string;An external IP address associated with this instance. Specify an unused static external IP address available to the project or leave this field undefined to use an IP from a shared ephemeral IP address pool. If you specify a static external IP address, it must live in the same region as the zone of the instance.
compute.beta.instance;networkInterfaces[].accessConfigs[].type;string;The type of configuration. The default and only option is ONE_TO_ONE_NAT.
compute.beta.instance;networkInterfaces[].aliasIpRanges[];list;An array of alias IP ranges for this network interface. Can only be specified for network interfaces on subnet-mode networks.
compute.beta.instance;networkInterfaces[].aliasIpRanges[].ipCidrRange;string;The IP CIDR range represented by this alias IP range. This IP CIDR range must belong to the specified subnetwork and cannot contain IP addresses reserved by system or used by other network interfaces. This range may be a single IP address (e.g. 10.2.3.4), a netmask (e.g. /24) or a CIDR format string (e.g. 10.1.2.0/24).
compute.beta.instance;networkInterfaces[].aliasIpRanges[].subnetworkRangeName;string;Optional subnetwork secondary range name specifying the secondary range from which to allocate the IP CIDR range for this alias IP range. If left unspecified, the primary range of the subnetwork will be used.
compute.beta.instance;networkInterfaces[].kind;string;[Output Only] Type of the resource. Always compute#networkInterface for network interfaces.
compute.beta.instance;networkInterfaces[].name;string;[Output Only] The name of the network interface, generated by the server. For network devices, these are eth0, eth1, etc.
compute.beta.instance;networkInterfaces[].network;string;URL of the network resource for this instance. When creating an instance, if neither the network nor the subnetwork is specified, the default network global/networks/default is used; if the network is not specified but the subnetwork is specified, the network is inferred. This field is optional when creating a firewall rule. If not specified when creating a firewall rule, the default network global/networks/default is used. If you specify this property, you can specify the network as a full or partial URL. For example, the following are all valid URLs: https://www.googleapis.com/compute/v1/projects/project/global/networks/network projects/project/global/networks/network global/networks/default
compute.beta.instance;networkInterfaces[].networkIP;string;An IPv4 internal network address to assign to the instance for this network interface. If not specified by the user, an unused internal IP is assigned by the system.
compute.beta.instance;networkInterfaces[].subnetwork;string;The URL of the Subnetwork resource for this instance. If the network resource is in legacy mode, do not provide this property. If the network is in auto subnet mode, providing the subnetwork is optional. If the network is in custom subnet mode, then this field should be specified. If you specify this property, you can specify the subnetwork as a full or partial URL. For example, the following are all valid URLs: https://www.googleapis.com/compute/v1/projects/project/regions/region/subnetworks/subnetwork regions/region/subnetworks/subnetwork
compute.beta.instance;scheduling;nested object;Sets the scheduling options for this instance.
compute.beta.instance;scheduling.automaticRestart;boolean;Specifies whether the instance should be automatically restarted if it is terminated by Compute Engine (not terminated by a user). You can only set the automatic restart option for standard instances. Preemptible instances cannot be automatically restarted. By default, this is set to true so an instance is automatically restarted if it is terminated by Compute Engine.
compute.beta.instance;scheduling.onHostMaintenance;string;Defines the maintenance behavior for this instance. For standard instances, the default behavior is MIGRATE. For preemptible instances, the default and only possible behavior is TERMINATE. For more information, see Setting Instance Scheduling Options.
compute.beta.instance;scheduling.preemptible;boolean;Defines whether the instance is preemptible. This can only be set during instance creation, it cannot be set or changed after the instance has been created.
compute.beta.instance;selfLink;string;[Output Only] Server-defined URL for this resource.
compute.beta.instance;serviceAccounts[];list;A list of service accounts, with their specified scopes, authorized for this instance. Only one service account per VM instance is supported. Service accounts generate access tokens that can be accessed through the metadata server and used to authenticate applications on the instance. See Service Accounts for more information.
compute.beta.instance;serviceAccounts[].email;string;Email address of the service account.
compute.beta.instance;serviceAccounts[].scopes[];list;The list of scopes to be made available for this service account.
compute.beta.instance;status;string;[Output Only] The status of the instance. One of the following values: PROVISIONING, STAGING, RUNNING, STOPPING, SUSPENDING, SUSPENDED, and TERMINATED.
compute.beta.instance;statusMessage;string;[Output Only] An optional, human-readable explanation of the status.
compute.beta.instance;tags;nested object;A list of tags to apply to this instance. Tags are used to identify valid sources or targets for network firewalls and are specified by the client during instance creation. The tags can be later modified by the setTags method. Each tag within the list must comply with RFC1035.
compute.beta.instance;tags.fingerprint;bytes;Specifies a fingerprint for this request, which is essentially a hash of the metadata's contents and used for optimistic locking. The fingerprint is initially generated by Compute Engine and changes after every request to modify or update metadata. You must always provide an up-to-date fingerprint hash in order to update or change metadata. To see the latest fingerprint, make get() request to the instance.
compute.beta.instance;tags.items[];list;An array of tags. Each tag must be 1-63 characters long, and comply with RFC1035.
compute.beta.instance;zone;string;[Output Only] URL of the zone where the instance resides.
compute.beta.instanceGroup;creationTimestamp;string;[Output Only] The creation timestamp for this instance group in RFC3339 text format.
compute.beta.instanceGroup;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.beta.instanceGroup;fingerprint;bytes;[Output Only] The fingerprint of the named ports. The system uses this fingerprint to detect conflicts when multiple users change the named ports concurrently.
compute.beta.instanceGroup;id;unsigned long;[Output Only] A unique identifier for this instance group, generated by the server.
compute.beta.instanceGroup;kind;string;[Output Only] The resource type, which is always compute#instanceGroup for instance groups.
compute.beta.instanceGroup;name;string;The name of the instance group. The name must be 1-63 characters long, and comply with RFC1035.
compute.beta.instanceGroup;namedPorts[];list;Assigns a name to a port number. For example: {name: "http", port: 80} This allows the system to reference ports by the assigned name instead of a port number. Named ports can also contain multiple ports. For example: [{name: "http", port: 80},{name: "http", port: 8080}] Named ports apply to all instances in this instance group.
compute.beta.instanceGroup;namedPorts[].name;string;The name for this named port. The name must be 1-63 characters long, and comply with RFC1035.
compute.beta.instanceGroup;namedPorts[].port;integer;The port number, which can be a value between 1 and 65535.
compute.beta.instanceGroup;network;string;The URL of the network to which all instances in the instance group belong.
compute.beta.instanceGroup;region;string;The URL of the region where the instance group is located (for regional resources).
compute.beta.instanceGroup;selfLink;string;[Output Only] The URL for this instance group. The server generates this URL.
compute.beta.instanceGroup;size;integer;[Output Only] The total number of instances in the instance group.
compute.beta.instanceGroup;subnetwork;string;The URL of the subnetwork to which all instances in the instance group belong.
compute.beta.instanceGroup;zone;string;[Output Only] The URL of the zone where the instance group is located (for zonal resources).
compute.beta.instanceGroupManager;autoHealingPolicies[];list;The autohealing policy for this managed instance group. You can specify only one value.
compute.beta.instanceGroupManager;autoHealingPolicies[].healthCheck;string;The URL for the health check that signals autohealing.
compute.beta.instanceGroupManager;autoHealingPolicies[].initialDelaySec;integer;The number of seconds that the managed instance group waits before it applies autohealing policies to new instances or recently recreated instances. This initial delay allows instances to initialize and run their startup scripts before the instance group determines that they are UNHEALTHY. This prevents the managed instance group from recreating its instances prematurely. This value must be from range [0, 3600].
compute.beta.instanceGroupManager;baseInstanceName;string;The base instance name to use for instances in this group. The value must be 1-58 characters long. Instances are named by appending a hyphen and a random four-character string to the base instance name. The base instance name must comply with RFC1035.
compute.beta.instanceGroupManager;creationTimestamp;string;[Output Only] The creation timestamp for this managed instance group in RFC3339 text format.
compute.beta.instanceGroupManager;currentActions;nested object;[Output Only] The list of instance actions and the number of instances in this managed instance group that are scheduled for each of those actions.
compute.beta.instanceGroupManager;currentActions.abandoning;integer;[Output Only] The total number of instances in the managed instance group that are scheduled to be abandoned. Abandoning an instance removes it from the managed instance group without deleting it.
compute.beta.instanceGroupManager;currentActions.creating;integer;[Output Only] The number of instances in the managed instance group that are scheduled to be created or are currently being created. If the group fails to create any of these instances, it tries again until it creates the instance successfully. If you have disabled creation retries, this field will not be populated; instead, the creatingWithoutRetries field will be populated.
compute.beta.instanceGroupManager;currentActions.creatingWithoutRetries;integer;[Output Only] The number of instances that the managed instance group will attempt to create. The group attempts to create each instance only once. If the group fails to create any of these instances, it decreases the group's targetSize value accordingly.
compute.beta.instanceGroupManager;currentActions.deleting;integer;[Output Only] The number of instances in the managed instance group that are scheduled to be deleted or are currently being deleted.
compute.beta.instanceGroupManager;currentActions.none;integer;[Output Only] The number of instances in the managed instance group that are running and have no scheduled actions.
compute.beta.instanceGroupManager;currentActions.recreating;integer;[Output Only] The number of instances in the managed instance group that are scheduled to be recreated or are currently being being recreated. Recreating an instance deletes the existing root persistent disk and creates a new disk from the image that is defined in the instance template.
compute.beta.instanceGroupManager;currentActions.refreshing;integer;[Output Only] The number of instances in the managed instance group that are being reconfigured with properties that do not require a restart or a recreate action. For example, setting or removing target pools for the instance.
compute.beta.instanceGroupManager;currentActions.restarting;integer;[Output Only] The number of instances in the managed instance group that are scheduled to be restarted or are currently being restarted.
compute.beta.instanceGroupManager;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.beta.instanceGroupManager;failoverAction;string;The action to perform in case of zone failure. Only one value is supported, NO_FAILOVER. The default is NO_FAILOVER.
compute.beta.instanceGroupManager;fingerprint;bytes;[Output Only] The fingerprint of the resource data. You can use this optional field for optimistic locking when you update the resource.
compute.beta.instanceGroupManager;id;unsigned long;[Output Only] A unique identifier for this resource type. The server generates this identifier.
compute.beta.instanceGroupManager;instanceGroup;string;[Output Only] The URL of the Instance Group resource.
compute.beta.instanceGroupManager;instanceTemplate;string;The URL of the instance template that is specified for this managed instance group. The group uses this template to create all new instances in the managed instance group.
compute.beta.instanceGroupManager;kind;string;[Output Only] The resource type, which is always compute#instanceGroupManager for managed instance groups.
compute.beta.instanceGroupManager;name;string;The name of the managed instance group. The name must be 1-63 characters long, and comply with RFC1035.
compute.beta.instanceGroupManager;namedPorts[];list;Named ports configured for the Instance Groups complementary to this Instance Group Manager.
compute.beta.instanceGroupManager;namedPorts[].name;string;The name for this named port. The name must be 1-63 characters long, and comply with RFC1035.
compute.beta.instanceGroupManager;namedPorts[].port;integer;The port number, which can be a value between 1 and 65535.
compute.beta.instanceGroupManager;region;string;[Output Only] The URL of the region where the managed instance group resides (for regional resources).
compute.beta.instanceGroupManager;selfLink;string;[Output Only] The URL for this managed instance group. The server defines this URL.
compute.beta.instanceGroupManager;serviceAccount;string;Service account will be used as credentials for all operations performed by managed instance group on instances. The service accounts needs all permissions required to create and delete instances. When not specified, the service account {projectNumber}@cloudservices.gserviceaccount.com will be used.
compute.beta.instanceGroupManager;targetPools[];list;The URLs for all TargetPool resources to which instances in the instanceGroup field are added. The target pools automatically apply to all of the instances in the managed instance group.
compute.beta.instanceGroupManager;targetSize;integer;The target number of running instances for this managed instance group. Deleting or abandoning instances reduces this number. Resizing the group changes this number.
compute.beta.instanceGroupManager;zone;string;[Output Only] The URL of the zone where the managed instance group is located (for zonal resources).
compute.beta.instanceTemplate;creationTimestamp;string;[Output Only] The creation timestamp for this instance template in RFC3339 text format.
compute.beta.instanceTemplate;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.beta.instanceTemplate;id;unsigned long;[Output Only] A unique identifier for this instance template. The server defines this identifier.
compute.beta.instanceTemplate;kind;string;[Output Only] The resource type, which is always compute#instanceTemplate for instance templates.
compute.beta.instanceTemplate;name;string;Name of the resource; provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.beta.instanceTemplate;properties;nested object;The instance properties for this instance template.
compute.beta.instanceTemplate;properties.canIpForward;boolean;Enables instances created based on this template to send packets with source IP addresses other than their own and receive packets with destination IP addresses other than their own. If these instances will be used as an IP gateway or it will be set as the next-hop in a Route resource, specify true. If unsure, leave this set to false. See the Enable IP forwarding for instances documentation for more information.
compute.beta.instanceTemplate;properties.description;string;An optional text description for the instances that are created from this instance template.
compute.beta.instanceTemplate;properties.disks[];list;An array of disks that are associated with the instances that are created from this template.
compute.beta.instanceTemplate;properties.disks[].autoDelete;boolean;Specifies whether the disk will be auto-deleted when the instance is deleted (but not when the disk is detached from the instance).
compute.beta.instanceTemplate;properties.disks[].boot;boolean;Indicates that this is a boot disk. The virtual machine will use the first partition of the disk for its root filesystem.
compute.beta.instanceTemplate;properties.disks[].deviceName;string;Specifies a unique device name of your choice that is reflected into the /dev/disk/by-id/google-* tree of a Linux operating system running within the instance. This name can be used to reference the device for mounting, resizing, and so on, from within the instance. If not specified, the server chooses a default device name to apply to this disk, in the form persistent-disks-x, where x is a number assigned by Google Compute Engine. This field is only applicable for persistent disks.
compute.beta.instanceTemplate;properties.disks[].diskEncryptionKey;nested object;Encrypts or decrypts a disk using a customer-supplied encryption key. If you are creating a new disk, this field encrypts the new disk using an encryption key that you provide. If you are attaching an existing disk that is already encrypted, this field decrypts the disk using the customer-supplied encryption key. If you encrypt a disk using a customer-supplied key, you must provide the same key again when you attempt to use this resource at a later time. For example, you must provide the key when you create a snapshot or an image from the disk or when you attach the disk to a virtual machine instance. If you do not provide an encryption key, then the disk will be encrypted using an automatically generated key and you do not need to provide a key to use the disk later. Instance templates do not store customer-supplied encryption keys, so you cannot use your own keys to encrypt disks in a managed instance group.
